condition	trial	pass	turns	duration_ms	cost_usd	input_tokens	output_tokens	cache_read_tokens	cache_creation_tokens
bare	1	PASS	9	28800	0.1608856	16	1917	422818	14280
bare	2	PASS	6	20336	0.1252768	12	1133	308414	13060
bare	3	PASS	6	19987	0.1267134	12	1246	308147	13150
bare	4	PASS	6	18669	0.1183642	10	1301	256311	13518
bare	5	PASS	10	31302	0.1649794	18	1527	471727	13832
junior	1	PASS	8	33833	0.16889020000000002	12	2587	334101	19044
junior	2	PASS	7	32500	0.19376239999999997	14	2310	384452	23436
junior	3	PASS	8	44736	0.179046	12	3459	335680	19324
junior	4	PASS	5	35705	0.1535524	10	2731	272032	17954
junior	5	PASS	9	43105	0.193044	14	3515	394690	19732
